J-FK5|487703|489701|1.46613 |1.46742 |1.47314 |1.47773 |1.47850 |1.47912 |1.48137 |1.482813 |1.484095 |1.485343 |1.485688 |1.486009 |1.487428 |1.487490 |1.489145 |1.492276 |1.492662 |1.495944 |1.498956 |1.500781 |1.504034 |0.19 |0.51 |0.77 |0.900 |0.953 |0.976 |0.987 |0.993 |0.996 |0.995 |0.995 |0.995 |0.997 |0.999 |0.997 |0.996 |0.997 |0.997 |0.997 |0.997 |0.997 |0.996 |0.997 |0.994 |0.999 |0.999 |0.999 |0.969 |0.987 |0.980 |0.968 |0.82 |0.80
J-FK01|497817|498813|1.48180 |1.48256 |1.48603 |1.48909 |1.48964 |1.49009 |1.49183 |1.493007 |1.494078 |1.495140 |1.495437 |1.495713 |1.496946 |1.497000 |1.498452 |1.501221 |1.501565 |1.504487 |1.507176 |1.508806 |1.511711 |0.01 |0.05 |0.15 |0.33 |0.54 |0.73 |0.85 |0.925 |0.962 |0.973 |0.979 |0.987 |0.990 |0.991 |0.991 |0.990 |0.991 |0.992 |0.993 |0.993 |0.993 |0.991 |0.992 |0.987 |0.990 |0.988 |0.995 |0.995 |0.992 |0.986 |0.988 |0.985 |0.988
J-FKH1|498826|499821|1.48334 |1.48404 |1.48723 |1.49009 |1.49062 |1.49105 |1.49273 |1.493880 |1.494932 |1.495980 |1.496273 |1.496547 |1.497766 |1.497820 |1.499259 |1.502009 |1.502351 |1.505256 |1.507932 |1.509554 |1.512445 |0.03 |0.07 |0.15 |0.30 |0.48 |0.66 |0.79 |0.88 |0.930 |0.945 |0.958 |0.975 |0.982 |0.988 |0.990 |0.991 |0.993 |0.994 |0.995 |0.995 |0.994 |0.994 |0.993 |0.991 |0.993 |0.993 |0.998 |0.999 |0.995 |0.991 |0.994 |0.988 |0.984
J-FKH2|456914|457910|1.44327 |1.44391 |1.44685 |1.44943 |1.44990 |1.45028 |1.45173 |1.452705 |1.453592 |1.454469 |1.454714 |1.454942 |1.455955 |1.456000 |1.457192 |1.459460 |1.459740 |1.462126 |1.464317 |1.465643 |1.468003 |0.0|0.0|0.04 |0.15 |0.37 |0.60 |0.78 |0.89 |0.945 |0.963 |0.974 |0.986 |0.991 |0.994 |0.994 |0.994 |0.995 |0.996 |0.996 |0.997 |0.996 |0.996 |0.996 |0.992 |0.994 |0.993 |0.995 |0.994 |0.994 |0.991 |0.995 |0.994 |0.998
J-PKH1|519699|520697|1.49701 |1.49826 |1.50384 |1.50840 |1.50918 |1.50980 |1.51212 |1.513636 |1.514988 |1.516311 |1.516678 |1.517020 |1.518533 |1.518600 |1.520372 |1.523731 |1.524147 |1.527677 |1.530922 |1.532889 |1.536397 |0.0|0.04 |0.19 |0.43 |0.66 |0.81 |0.904 |0.948 |0.970 |0.976 |0.981 |0.986 |0.991 |0.991 |0.988 |0.983 |0.984 |0.987 |0.990 |0.995 |0.995 |0.991 |0.990 |0.992 |0.996 |0.995 |0.996 |0.992 |0.963 |0.904 |0.84 |0.70 |0.64
J-PSK02|618633|620631|1.59332 |1.59459 |1.60036 |1.60533 |1.60622 |1.60695 |1.60973 |1.611614 |1.613326 |1.615024 |1.615498 |1.615941 |1.617913 |1.618000 |1.620328 |1.624781 |1.625335 |1.630061 |1.634432 |1.637092 |1.641858 |0.0|0.0|0.0|0.0|0.01 |0.09 |0.26 |0.48 |0.67 |0.75 |0.81 |0.89 |0.936 |0.958 |0.969 |0.971 |0.978 |0.985 |0.990 |0.995 |0.993 |0.992 |0.992 |0.990 |0.993 |0.991 |0.994 |0.992 |0.986 |0.973 |0.956 |0.88 |0.77
J-PSK03|603654|605652|1.57914 |1.58040 |1.58607 |1.59092 |1.59178 |1.59248 |1.59515 |1.596945 |1.598572 |1.600183 |1.600633 |1.601052 |1.602918 |1.603000 |1.605199 |1.609398 |1.609919 |1.614364 |1.618467 |1.620961 |1.625420 |0.0|0.0|0.0|0.03 |0.10 |0.25 |0.45 |0.65 |0.79 |0.84 |0.88 |0.933 |0.958 |0.971 |0.973 |0.972 |0.977 |0.983 |0.988 |0.991 |0.990 |0.989 |0.989 |0.987 |0.992 |0.990 |0.994 |0.990 |0.981 |0.958 |0.932 |0.84 |0.78
J-PSKH1|593679|595675|1.57343 |1.57433 |1.57847 |1.58228 |1.58299 |1.58358 |1.58592 |1.587541 |1.589039 |1.590540 |1.590961 |1.591354 |1.593112 |1.593190 |1.595274 |1.599276 |1.599774 |1.604028 |1.607963 |1.610358 |-|0.0|0.0|0.03 |0.10 |0.24 |0.43 |0.63 |0.78 |0.88 |0.911 |0.937 |0.966 |0.978 |0.985 |0.989 |0.989 |0.991 |0.992 |0.993 |0.996 |0.994 |0.993 |0.992 |0.989 |0.993 |0.992 |0.999 |0.997 |0.995 |0.988 |0.990 |0.989 |0.987
J-PSKH4|593670|596668|1.56926 |1.57059 |1.57659 |1.58162 |1.58249 |1.58320 |1.58586 |1.587621 |1.589208 |1.590771 |1.591206 |1.591611 |1.593411 |1.593490 |1.595604 |1.599629 |1.600128 |1.604375 |1.608288 |1.610663 |1.614907 |0.0|0.08 |0.22 |0.40 |0.59 |0.75 |0.85 |0.918 |0.953 |0.967 |0.975 |0.983 |0.988 |0.991 |0.992 |0.992 |0.992 |0.994 |0.995 |0.996 |0.995 |0.993 |0.993 |0.991 |0.997 |0.996 |0.998 |0.995 |0.986 |0.968 |0.945 |0.87 |0.81
J-BK7A|517641|519639|1.49403 |1.49532 |1.50110 |1.50588 |1.50669 |1.50736 |1.50982 |1.511444 |1.512897 |1.514324 |1.514720 |1.515089 |1.516728 |1.516800 |1.518723 |1.522382 |1.522836 |1.526699 |1.530262 |1.532427 |1.536301 |0.01 |0.08 |0.30 |0.59 |0.79 |0.89 |0.947 |0.973 |0.986 |0.988 |0.990 |0.990 |0.995 |0.996 |0.996 |0.995 |0.995 |0.996 |0.996 |0.996 |0.996 |0.994 |0.993 |0.989 |0.997 |0.996 |0.997 |0.977 |0.987 |0.960 |0.921 |0.81 |0.75
J-BAK1|573573|575570|1.54903 |1.55016 |1.55531 |1.55991 |1.56075 |1.56145 |1.56417 |1.566036 |1.567755 |1.569472 |1.569953 |1.570402 |1.572411 |1.572500 |1.574882 |1.579464 |1.580036 |1.584931 |1.589484 |1.592266 |1.597270 |0.0|0.02 |0.13 |0.36 |0.60 |0.78 |0.88 |0.939 |0.966 |0.976 |0.982 |0.985 |0.990 |0.993 |0.993 |0.991 |0.992 |0.993 |0.994 |0.996 |0.994 |0.993 |0.993 |0.991 |0.997 |0.995 |0.996 |0.989 |0.990 |0.976 |0.965 |0.916 |0.88
J-BAK2|540595|542593|1.51748 |1.51862 |1.52379 |1.52829 |1.52909 |1.52976 |1.53231 |1.534045 |1.535627 |1.537199 |1.537639 |1.538049 |1.539879 |1.539960 |1.542123 |1.546271 |1.546787 |1.551203 |1.555299 |1.557798 |1.562285 |0.0|0.03 |0.19 |0.48 |0.73 |0.87 |0.940 |0.971 |0.984 |0.988 |0.990 |0.990 |0.993 |0.996 |0.995 |0.994 |0.994 |0.995 |0.996 |0.996 |0.996 |0.995 |0.995 |0.992 |0.996 |0.996 |0.996 |0.990 |0.990 |0.972 |0.947 |0.89 |0.85
J-BAK4|569560|571557|1.54426 |1.54548 |1.55104 |1.55592 |1.55680 |1.55753 |1.56033 |1.562249 |1.564003 |1.565751 |1.566241 |1.566698 |1.568740 |1.568830 |1.571250 |1.575909 |1.576491 |1.581480 |1.586137 |1.588993 |1.594153 |0.0|0.0|0.0|0.0|0.0|0.10 |0.45 |0.74 |0.88 |0.922 |0.947 |0.971 |0.983 |0.990 |0.993 |0.993 |0.994 |0.995 |0.996 |0.995 |0.995 |0.994 |0.993 |0.989 |0.998 |0.996 |0.999 |0.984 |0.990 |0.972 |0.955 |0.88 |0.83
