1|487-704|FC5|1.47308|1.47774|1.47913|1.48139|1.48283|1.48411|1.48535|1.48569|1.48601|1.48743|1.48749|1.48914|1.49227|1.49266|1.49594|1.49896|1.50405|||||||0.992|0.991|0.971|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.998|0.999|0.999|0.999|0.999|0.998|0.997|0.997|0.998|0.998|0.993|0.996|0.995|0.992|0.984|0.970|0.937|0.868|0.710|0.430|0.120
2|497-816|FCD1|1.48598|1.48907|1.49008|1.49182|1.49300|1.49408|1.49514|1.49543|1.49571|1.49694|1.49700|1.49845|1.50123|1.50157|1.50451|1.50721|1.51175|0.999|0.999|0.999|0.999|0.999|0.999|0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.998 |0.999 |0.999 |0.999 |0.999 |0.997 |0.997 |0.997 |0.995 |0.996 |0.995 |0.990 |0.972 |0.939 |0.878 |0.761 |0.586 |0.376 |0.190 |0.077 |0.027
3|497-816|FCD1B|1.48592|1.48912|1.49015|1.49192|1.49310|1.49418|1.49524|1.49554|1.49582|1.49705|1.49710|1.49856|1.50134|1.50168|1.50462|1.50732|1.51185|||||||0.997 |0.997 |0.997 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.998 |0.998 |0.999 |0.999 |0.999 |0.998 |0.997 |0.996 |0.995 |0.996 |0.993 |0.987 |0.972 |0.938 |0.863 |0.726 |0.520 |0.288 |0.112 |0.028 |0.000 |0.000
4|459-902|FCD10A|1.44937|1.45194|1.45279|1.45426|1.45525|1.45615|1.45704|1.45729|1.45752|1.45855|1.45860|1.45981|1.46212|1.46241|1.46484|1.46708|1.47083|||||||0.998 |0.998 |0.999 |0.999 |0.999 |0.998 |0.997 |0.997 |0.997 |0.997 |0.997 |0.997 |0.998 |0.998 |0.998 |0.998 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.997 |0.996 |0.996 |0.995 |0.994 |0.990 |0.983 |0.968 |0.935 |0.867 |0.744 |0.561 |0.347 |0.166 |0.059 |0.016
5|437-951|FCD100|1.42855|1.43094|1.43172|1.43306|1.43396|1.43478|1.43559|1.43582|1.43603|1.43696|1.43700|1.43810|1.44019|1.44044|1.44264|1.44465|1.44803|0.999|0.998|0.999|0.999|0.999|0.999|0.997|0.997|0.998|0.997|0.996|0.995|0.994|0.995|0.995|0.995|0.996|0.997|0.997|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.998|0.998|0.997|0.997|0.998|0.995|0.989|0.976|0.944|0.880|0.761|0.579|0.358|0.168|0.057|0.015
6|593-686|FCD505|1.57819|1.58203|1.58333|1.58564|1.58725|1.58873|1.59021|1.59062|1.59101|1.59275|1.59282|1.59489|1.59884|1.59934|1.60354|1.60743|1.61405|0.935|0.951|0.968|0.987|0.995|0.999|0.998 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.997 |0.997 |0.997 |0.997 |0.995 |0.994 |0.992 |0.989 |0.988 |0.977 |0.962 |0.930 |0.866 |0.750 |0.560 |0.342 |0.152 |0.045 |0.000 |0.000 |0.000 |0.000
7|593-686|FCD515|1.57819|1.58203|1.58333|1.58564|1.58725|1.58873|1.59021|1.59062|1.59101|1.59275|1.59282|1.59489|1.59884|1.59934|1.60354|1.60743|1.61405|0.899|0.923|0.946|0.973|0.987|0.999|0.998 |0.999 |0.999 |0.999 |0.998 |0.998 |0.997 |0.997 |0.997 |0.997 |0.996 |0.996 |0.998 |0.997 |0.997 |0.998 |0.997 |0.997 |0.998 |0.999 |0.997 |0.996 |0.994 |0.991 |0.990 |0.980 |0.962 |0.926 |0.856 |0.714 |0.518 |0.290 |0.109 |0.026 |0.000 |0.000 |0.000 |0.000
8|550-755|FCD705|1.53763|1.54102|1.54216|1.54418|1.54557|1.54684|1.54810|1.54845|1.54879|1.55026|1.55032|1.55206|1.55539|1.55580|1.55933|1.56257|1.56806|0.965|0.970|0.978|0.990|0.993|0.995|0.995 |0.995 |0.995 |0.995 |0.994 |0.993 |0.992 |0.992 |0.992 |0.991 |0.992 |0.992 |0.984 |0.993 |0.994 |0.994 |0.994 |0.994 |0.997 |0.999 |0.997 |0.995 |0.993 |0.990 |0.990 |0.986 |0.977 |0.956 |0.918 |0.830 |0.687 |0.478 |0.247 |0.087 |0.019 |0.000 |0.000 |0.000
9|618-634|PCD4|1.60019|1.60533|1.60697|1.60976|1.61163|1.61334|1.61503|1.61550|1.61594|1.61791|1.61800|1.62032|1.62478|1.62533|1.63004|1.63439|1.64180|0.688|0.762|0.885|0.968|0.986|0.997|0.993|0.992|0.994|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.998|0.999|0.999|0.998|0.999|0.999|0.999|0.999|0.997|0.996|0.994|0.992|0.991|0.985|0.975|0.954|0.911|0.858|0.765|0.642|0.498|0.356|0.235|0.136|0.055
10|620-639|PCD40|1.60294|1.60756|1.60910|1.61180|1.61365|1.61533|1.61701|1.61748|1.61792|1.61988|1.61997|1.62228|1.62672|1.62727|1.63198|1.63634|1.64374|||||||0.994 |0.994 |0.995 |0.996 |0.995 |0.995 |0.994 |0.994 |0.994 |0.994 |0.994 |0.994 |0.994 |0.997 |0.997 |0.997 |0.997 |0.996 |0.997 |0.998 |0.997 |0.996 |0.994 |0.992 |0.991 |0.986 |0.976 |0.954 |0.911 |0.815 |0.663 |0.455 |0.240 |0.092 |0.024 |0.000 |0.000 |0.000
