1,S-FPL51,497816,498810,1.479520 ,1.482693 ,1.486103 ,1.489110 ,1.490103 ,1.491829 ,1.493002 ,1.494073 ,1.495136 ,1.495433 ,1.495711 ,1.496945 ,1.496999 ,1.498455 ,1.501231 ,1.501576 ,1.504074 ,1.504507 ,1.507205 ,1.511760 ,0.01,0.05,0.17,0.37,0.60,0.77,0.88,0.947,0.975,0.988,0.994,0.996,0.995,0.994,0.994,0.996,0.997,0.998,0.999,0.998,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.997,0.996
2,S-FPL53,439950,440946,1.425123 ,1.427618 ,1.430316 ,1.432688 ,1.433463 ,1.434800 ,1.435702 ,1.436522 ,1.437333 ,1.437560 ,1.437771 ,1.438709 ,1.438750 ,1.439854 ,1.441955 ,1.442215 ,1.444098 ,1.444423 ,1.446451 ,1.449860 ,0.04,0.12,0.28,0.51,0.71,0.85,0.928,0.967,0.985,0.992,0.996,0.997,0.996,0.995,0.995,0.996,0.997,0.998,0.999,0.998,0.997,0.998,0.998,0.997,0.997,0.998,0.998,0.998,0.998,0.998,0.997,0.998
3,S-FPL55,439948,440942,1.424918 ,1.427469 ,1.430228 ,1.432645 ,1.433430 ,1.434780 ,1.435689 ,1.436513 ,1.437328 ,1.437555 ,1.437767 ,1.438708 ,1.438750 ,1.439857 ,1.441963 ,1.442223 ,1.444111 ,1.444438 ,1.446469 ,1.449883 ,0.02,0.08,0.22,0.43,0.65,0.81,0.907,0.957,0.979,0.989,0.995,0.996,0.996,0.995,0.995,0.996,0.997,0.998,0.999,0.998,0.997,0.997,0.997,0.996,0.995,0.996,0.997,0.997,0.997,0.997,0.996,0.997
4,S-FPM2,595677,597674,1.572518 ,1.576309 ,1.580447 ,1.584255 ,1.585567 ,1.587910 ,1.589540 ,1.591046 ,1.592555 ,1.592978 ,1.593374 ,1.595142 ,1.595220 ,1.597316 ,1.601342 ,1.601844 ,1.605491 ,1.606124 ,1.610084 ,1.616805 ,0,0,0,0.18,0.35,0.54,0.72,0.84,0.917,0.958,0.980,0.988,0.991,0.989,0.989,0.992,0.994,0.996,0.998,0.997,0.996,0.996,0.995,0.995,0.996,0.997,0.997,0.997,0.995,0.992,0.989,0.983
5,S-FPM3,538747,539743,1.517381 ,1.521050 ,1.524997 ,1.528491 ,1.529649 ,1.531668 ,1.533044 ,1.534303 ,1.535554 ,1.535904 ,1.536231 ,1.537686 ,1.537750 ,1.539469 ,1.542753 ,1.543161 ,1.546122 ,1.546635 ,1.549838 ,1.555253 ,0.03,0.08,0.19,0.36,0.55,0.72,0.85,0.924,0.962,0.981,0.990,0.992,0.992,0.989,0.990,0.992,0.995,0.996,0.998,0.997,0.996,0.996,0.994,0.995,0.996,0.997,0.997,0.996,0.995,0.993,0.987,0.984
6,S-FSL 5,487702,489701,1.462267 ,1.467651 ,1.473245 ,1.477782 ,1.479150 ,1.481382 ,1.482822 ,1.484099 ,1.485344 ,1.485689 ,1.486010 ,1.487428 ,1.487490 ,1.489147 ,1.492285 ,1.492673 ,1.495479 ,1.495964 ,1.498983 ,1.504063 ,0.13,0.43,0.73,0.89,0.961,0.984,0.992,0.995,0.995,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.982,0.992,0.985,0.971,0.88,0.87
7,S-BSL 7,516641,518639,1.488994 ,1.494621 ,1.500504 ,1.505364 ,1.506862 ,1.509347 ,1.510973 ,1.512428 ,1.513855 ,1.514251 ,1.514621 ,1.516258 ,1.516330 ,1.518251 ,1.521905 ,1.522358 ,1.525645 ,1.526214 ,1.529768 ,1.535785 ,0,0.08,0.31,0.58,0.77,0.88,0.940,0.968,0.984,0.991,0.991,0.996,0.997,0.996,0.995,0.995,0.996,0.996,0.998,0.997,0.997,0.998,0.998,0.997,0.996,0.995,0.982,0.991,0.980,0.961,0.89,0.85
8,S-BSM 2,607568,610565,1.578742 ,1.583738 ,1.589132 ,1.593977 ,1.595610 ,1.598494 ,1.600482 ,1.602313 ,1.604144 ,1.604658 ,1.605138 ,1.607284 ,1.607379 ,1.609927 ,1.614835 ,1.615448 ,1.619918 ,1.620697 ,1.625582 ,1.633941 ,0,0,0,0.04,0.27,0.57,0.77,0.88,0.941,0.967,0.981,0.987,0.991,0.991,0.990,0.991,0.993,0.995,0.997,0.997,0.996,0.998,0.999,0.998,0.998,0.998,0.994,0.997,0.992,0.984,0.951,0.89
9,S-BSM 4,613587,615584,1.583377 ,1.588708 ,1.594403 ,1.599415 ,1.601073 ,1.603964 ,1.605938 ,1.607746 ,1.609547 ,1.610051 ,1.610522 ,1.612623 ,1.612716 ,1.615204 ,1.619982 ,1.620577 ,1.624914 ,1.625668 ,1.630391 ,1.638446 ,0,0,0,0.04,0.24,0.52,0.73,0.85,0.924,0.960,0.977,0.985,0.991,0.994,0.995,0.996,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.997,0.997,0.990,0.994,0.985,0.971,0.911,0.82
10,S-BSM 9,614550,617547,1.584062 ,1.589320 ,1.594990 ,1.600067 ,1.601774 ,1.604783 ,1.606856 ,1.608764 ,1.610673 ,1.611208 ,1.611709 ,1.613948 ,1.614047 ,1.616707 ,1.621840 ,1.622482 ,1.627173 ,1.627991 ,1.633138 ,1.642003 ,0,0,0,0,0,0.03,0.28,0.60,0.80,0.904,0.947,0.969,0.980,0.987,0.989,0.991,0.993,0.995,0.997,0.996,0.995,0.996,0.998,0.997,0.995,0.996,0.992,0.994,0.989,0.980,0.940,0.88
