"SCHOTT, Optical Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Internal transmission measured at 10 mm sample thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refractive Indices,,,,,,,,,,,,,,,,,,,,,,
Glass,Glascode,TAUI10/2500,TAUI10/2325,TAUI10/1970,TAUI10/1530,TAUI10/1060,TAUI10/700,TAUI10/660,TAUI10/620,TAUI10/580,TAUI10/546,TAUI10/500,TAUI10/460,TAUI10/436,TAUI10/420,TAUI10/405,TAUI10/400,TAUI10/390,TAUI10/380,TAUI10/370,TAUI10/365,TAUI10/350,TAUI10/334,TAUI10/320,TAUI10/310,TAUI10/300,TAUI10/290,TAUI10/280,TAUI10/270,TAUI10/260,TAUI10/250,  n2325.4,  n1970.1,  n1529.6,  n1060.0,  nt,  ns,  nr,  nC,  nC',  n632.8,  nD,  nd,  ne,  nF,  nF',  ng,  nh,  ni,  n334.1,  n312.6,  n296.7,  n280.4,  n248.3
 N-KZFS11,638424.320,0.507,0.779,0.965,0.991,0.999,0.998,0.997,0.997,0.997,0.997,0.996,0.993,0.991,0.990,0.988,0.987,0.983,0.976,0.963,0.950,0.882,0.727,0.468,0.230,0.048,0.000,0.000,0.000,0.000,0.000,1.59699,1.60439,1.61223,1.62044,1.62139,1.62540,1.63069,1.63324,1.63395,1.63462,1.63762,1.63775,1.64132,1.64828,1.64915,1.65670,1.66385,1.67636,1.690370,,,,
 N-KZFS2,558540.255,0.276,0.583,0.915,0.976,0.996,0.998,0.998,0.998,0.998,0.998,0.997,0.995,0.992,0.990,0.987,0.985,0.980,0.971,0.963,0.954,0.915,0.810,0.565,0.246,0.012,0.000,0.000,0.000,0.000,0.000,1.52239,1.53011,1.53798,1.54546,1.54625,1.54944,1.55337,1.55519,1.55570,1.55617,1.55827,1.55836,1.56082,1.56553,1.56612,1.57114,1.57580,1.58382,1.592590,,,,
 N-KZFS4,613445.300,0.510,0.749,0.951,0.984,0.998,0.998,0.997,0.997,0.997,0.997,0.995,0.990,0.987,0.984,0.981,0.979,0.971,0.963,0.941,0.924,0.815,0.468,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.57535,1.58233,1.58971,1.59739,1.59828,1.60199,1.60688,1.60922,1.60987,1.61049,1.61324,1.61336,1.61664,1.62300,1.62380,1.63071,1.63723,1.64865,,,,,
 N-KZFS4HT,613445.300,0.510,0.749,0.951,0.984,0.999,0.998,0.997,0.997,0.997,0.997,0.995,0.992,0.990,0.988,0.986,0.985,0.980,0.973,0.959,0.948,0.867,0.549,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.57535,1.58233,1.58971,1.59739,1.59828,1.60199,1.60688,1.60922,1.60987,1.61049,1.61324,1.61336,1.61664,1.62300,1.62380,1.63071,1.63723,1.64865,,,,,
 N-LAK33A,754523.422,0.398,0.686,0.937,0.990,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.994,0.991,0.988,0.981,0.976,0.967,0.950,0.924,0.905,0.804,0.601,0.336,0.160,0.053,0.000,0.000,0.000,0.000,0.000,1.71278,1.72047,1.72855,1.73690,1.73786,1.74186,1.74707,1.74956,1.75025,1.75090,1.75380,1.75393,1.75737,1.76398,1.76481,1.77187,1.77845,1.78972,1.801950,1.813250,1.823610,,
 N-LAF34,773496.424,0.454,0.726,0.945,0.989,0.999,0.998,0.998,0.998,0.998,0.998,0.997,0.994,0.991,0.988,0.983,0.980,0.971,0.955,0.927,0.908,0.815,0.643,0.424,0.236,0.069,0.000,0.000,0.000,0.000,0.000,1.73085,1.73824,1.74610,1.75447,1.75546,1.75962,1.76515,1.76780,1.76855,1.76924,1.77236,1.77250,1.77621,1.78337,1.78427,1.79196,1.79915,,,,,,
 N-LAK33B,755523.422,0.398,0.679,0.937,0.985,0.998,0.998,0.998,0.997,0.998,0.998,0.997,0.994,0.992,0.988,0.982,0.980,0.971,0.954,0.928,0.910,0.821,0.657,0.455,0.283,0.217,0.118,0.022,0.000,0.000,0.000,1.71387,1.72155,1.72962,1.73796,1.73892,1.74292,1.74814,1.75062,1.75132,1.75197,1.75487,1.75500,1.75844,1.76506,1.76589,1.77296,1.77954,1.79082,1.803060,1.814360,1.824710,,
 N-LASF31A,883408.551,0.636,0.824,0.963,0.993,0.998,0.997,0.996,0.996,0.996,0.996,0.991,0.980,0.970,0.960,0.942,0.933,0.905,0.860,0.782,0.729,0.488,0.129,0.060,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.83590,1.84267,1.85026,1.85937,1.86054,1.86572,1.87298,1.87656,1.87757,1.87853,1.88281,1.88300,1.88815,1.89822,1.89950,1.91050,1.92093,1.93920,,,,,
 N-LAF21,788475.428,0.430,0.713,0.942,0.988,0.998,0.998,0.997,0.997,0.997,0.997,0.996,0.990,0.985,0.981,0.971,0.966,0.949,0.921,0.870,0.833,0.644,0.276,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.74419,1.75191,1.76014,1.76892,1.76995,1.77434,1.78019,1.78301,1.78380,1.78454,1.78785,1.78800,1.79195,1.79960,1.80056,1.80882,1.81657,1.83002,,,,,
